timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1460690369302,3159,HTTP Request,200,OK,Thread Group 1-4,text,true,1316,5,5,3159
1460690368982,3958,HTTP Request,200,OK,Thread Group 1-3,text,true,979,5,5,3958
1460690372127,1517,HTTP Request,200,OK,Thread Group 1-2,text,true,1270,5,5,1517
1460690368508,5606,HTTP Request,200,OK,Thread Group 1-5,text,true,1106,5,5,5606
1460690371894,2711,HTTP Request,200,OK,Thread Group 1-1,text,true,3236,5,5,2711
1460690372461,3959,HTTP Request,200,OK,Thread Group 1-4,text,true,1031,5,5,3959
1460690373645,3010,HTTP Request,200,OK,Thread Group 1-2,text,true,1316,5,5,3010
1460690374114,2623,HTTP Request,200,OK,Thread Group 1-5,text,true,1204,5,5,2623
1460690372940,3840,HTTP Request,200,OK,Thread Group 1-3,text,true,979,5,5,3840
1460690374605,2265,HTTP Request,200,OK,Thread Group 1-1,text,true,3161,5,5,2265
1460690376781,2026,HTTP Request,200,OK,Thread Group 1-3,text,true,1316,5,5,2026
1460690376737,2339,HTTP Request,200,OK,Thread Group 1-5,text,true,979,5,5,2339
1460690376421,3747,HTTP Request,200,OK,Thread Group 1-4,text,true,1345,5,5,3747
1460690378807,2136,HTTP Request,200,OK,Thread Group 1-3,text,true,3236,5,5,2136
1460690376656,5608,HTTP Request,200,OK,Thread Group 1-2,text,true,1031,5,5,5608
1460690380945,1826,HTTP Request,200,OK,Thread Group 1-3,text,true,979,5,5,1826
1460690382266,1845,HTTP Request,200,OK,Thread Group 1-2,text,true,1391,5,5,1845
1460690380169,4378,HTTP Request,200,OK,Thread Group 1-4,text,true,1106,5,5,4378
1460690379076,5850,HTTP Request,200,OK,Thread Group 1-5,text,true,1270,5,5,5850
1460690376870,8421,HTTP Request,200,OK,Thread Group 1-1,text,true,1204,5,5,8421
1460690382772,2591,HTTP Request,200,OK,Thread Group 1-3,text,true,1204,5,5,2591
1460690384111,2163,HTTP Request,200,OK,Thread Group 1-2,text,true,3161,5,5,2163
1460690384548,2287,HTTP Request,200,OK,Thread Group 1-4,text,true,1345,5,5,2286
1460690384927,3872,HTTP Request,200,OK,Thread Group 1-5,text,true,1031,5,5,3872
1460690386274,2779,HTTP Request,200,OK,Thread Group 1-2,text,true,1129,5,5,2779
1460690385293,3824,HTTP Request,200,OK,Thread Group 1-1,text,true,979,5,5,3824
1460690386835,2286,HTTP Request,200,OK,Thread Group 1-4,text,true,3236,5,5,2286
1460690385363,4036,HTTP Request,200,OK,Thread Group 1-3,text,true,1316,5,5,4036
1460690389122,1659,HTTP Request,200,OK,Thread Group 1-4,text,true,1316,5,5,1659
1460690389118,1888,HTTP Request,200,OK,Thread Group 1-1,text,true,979,5,5,1888
1460690388800,2485,HTTP Request,200,OK,Thread Group 1-5,text,true,1345,5,5,2485
1460690389399,2763,HTTP Request,200,OK,Thread Group 1-3,text,true,1129,5,5,2763
1460690391005,1595,HTTP Request,200,OK,Thread Group 1-1,text,true,1270,5,5,1595
1460690390780,2033,HTTP Request,200,OK,Thread Group 1-4,text,true,3161,5,5,2033
1460690389053,5148,HTTP Request,200,OK,Thread Group 1-2,text,true,1031,5,5,5148
1460690392162,2190,HTTP Request,200,OK,Thread Group 1-3,text,true,1054,5,5,2190
1460690391284,3802,HTTP Request,200,OK,Thread Group 1-5,text,true,1106,5,5,3802
1460690392813,2754,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,2754
1460690392601,3314,HTTP Request,200,OK,Thread Group 1-1,text,true,1316,5,5,3314
1460690394200,2083,HTTP Request,200,OK,Thread Group 1-2,text,true,3161,5,5,2083
1460690394352,1995,HTTP Request,200,OK,Thread Group 1-3,text,true,1345,5,5,1995
1460690395568,1665,HTTP Request,200,OK,Thread Group 1-4,text,true,979,5,5,1665
1460690395916,1885,HTTP Request,200,OK,Thread Group 1-1,text,true,1316,5,5,1885
1460690396347,1785,HTTP Request,200,OK,Thread Group 1-3,text,true,3161,5,5,1785
1460690397233,1522,HTTP Request,200,OK,Thread Group 1-4,text,true,1270,5,5,1522
1460690398133,1192,HTTP Request,200,OK,Thread Group 1-3,text,true,979,5,5,1192
1460690395087,4638,HTTP Request,200,OK,Thread Group 1-5,text,true,1106,5,5,4638
1460690396283,3875,HTTP Request,200,OK,Thread Group 1-2,text,true,1129,5,5,3875
1460690397801,4179,HTTP Request,200,OK,Thread Group 1-1,text,true,1031,5,5,4179
