timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1460686975122,268,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311405,2,2,130
1460686975279,271,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311405,3,3,122
1460686975552,198,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,4,4,36
1460686975396,452,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311405,4,4,140
1460686975752,224,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,5,5,29
1460686975479,558,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311405,5,5,125
1460686975679,606,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311405,5,5,153
1460686975850,521,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,60
1460686975978,393,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,5,5,57
1460686976039,659,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,47
1460686976286,421,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,35
1460686976372,347,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,46
1460686976372,356,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,5,5,45
1460686975879,860,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311405,5,5,109
1460686976708,388,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,71
1460686976699,531,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,46
1460686976720,547,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,58
1460686977231,144,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,32
1460686976729,668,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311405,5,5,119
1460686977098,374,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,37
1460686976740,850,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,39
1460686977473,208,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,24
1460686977398,553,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311405,5,5,132
1460686977682,298,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,37
1460686977269,754,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311405,5,5,111
1460686977591,525,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,34
1460686977375,746,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311405,5,5,114
1460686977952,262,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,5,5,30
1460686977981,271,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,47
1460686978025,553,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,47
1460686978215,367,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,5,5,36
1460686978253,362,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,36
1460686978123,539,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311405,5,5,99
1460686978117,796,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311405,5,5,134
1460686978580,341,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,24
1460686978583,491,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,5,5,44
1460686978617,468,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,43
1460686978664,511,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,42
1460686978922,271,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,59
1460686978915,550,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311405,5,5,126
1460686979195,309,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,30
1460686979086,453,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,31
1460686979177,550,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,25
1460686979506,343,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,28
1460686979466,417,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,43
1460686979075,811,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311405,5,5,120
1460686979540,477,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,30
1460686979728,333,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,29
1460686979850,242,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,50
1460686979886,349,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,29
1460686980093,287,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,46
1460686980020,390,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,37
1460686980062,365,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,39
1460686980236,283,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,66
1460686980381,191,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,47
1460686979887,723,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,5,5,54
1460686980410,280,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,27
1460686980520,315,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,37
1460686980574,262,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,41
1460686980612,351,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311405,5,5,110
1460686980428,536,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311405,5,5,146
1460686980692,364,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,33
1460686980964,410,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311405,5,5,84
1460686980837,538,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,39
1460686980963,454,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311330,5,5,33
1460686981058,547,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,32
1460686981376,290,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,24
